Field,Data Quality Issue,Cleaning Method,Business Impact,QA Validation,Needs Manual Review,,,,
Provider IDs,Numeric import removed leading zeros from identifier fields.,Changed data type to Text in Power Query.,Prevented provider lookup failures and preserved identifier integrity during joins.,Spot checked source values and verified leading zeros were retained.,No,,,,
Patient IDs,Numeric formatting risked truncating leading zeros.,Converted field to Text before transformations.,Maintained unique patient identifiers and prevented duplicate records.,Compared sample IDs before and after transformation.,No,,,,
Claim IDs,Identifier formatting inconsistent due to numeric interpretation.,Converted field to Text.,Standardized claim identifiers for reporting and reconciliation.,Verified uniqueness and formatting consistency.,No,,,,
Insurance Type,"Mixed capitalization, spacing, and naming conventions.","Applied Trim, Clean, and standardized category names.",Improved grouping and payer analysis accuracy.,Reviewed distinct values before and after standardization.,No,,,,
Claim Status,Inconsistent status labels and capitalization.,Normalized text values using Replace Values and standardized naming.,Improved claim pipeline reporting and status summaries.,Verified expected status categories remained after transformation.,"Yes, if unknown statuses remained",,,,
AR Status,Inconsistent formatting and possible blank values.,Standardized status labels and removed extra whitespace.,Improved Accounts Receivable reporting consistency.,Compared category counts before and after cleaning.,"Yes, if blanks could not be resolved",,,,
Outcome,Mixed formatting and missing values.,Standardized text formatting and preserved unresolved nulls.,Improved reporting accuracy while avoiding assumptions about missing outcomes.,Reviewed null count and validated standardized categories.,"Yes, unresolved missing values",,,,
Follow-up,Inconsistent Yes/No values and blank entries.,Standardized responses to consistent values (Yes/No). Left unknown values as null.,Improved reporting of outstanding claims requiring follow-up.,Reviewed frequency counts after standardization.,"Yes, blank follow-up records",,,,
Date inconsistent,Date formatting,Standardized all Date of Service(DOS) values to dd-mm-yyyy.,"mproved consistency for reporting, sorting, filtering, and downstream analysis.",,No,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
